Timestamp,NAME ,CHOOSE PRECEDENCE OF ALLOCATION,PROJECT PRIORITY  [SOCIAL MEDIA APP],PROJECT PRIORITY  [GEN AI FOR STORIES],PROJECT PRIORITY  [CODE VULNERABILITY],PROJECT PRIORITY  [CODE OPTIMIZATION],PROJECT PRIORITY  [CODE REVIEW ASSISTANT],ROLE PRIORITY [ML],ROLE PRIORITY [FRONTEND],ROLE PRIORITY [BACKEND / APPDEV],ROLE PRIORITY [CYSEC/ALGO],FINAL CHECK BEFORE SUBMISSION ,PROJECT_ROLE_PAIR
13-05-2024 20.19,30,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.19,31,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.20,32,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, ML"
13-05-2024 20.20,33,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, BACKEND / APPDEV"
13-05-2024 20.20,34,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, BACKEND / APPDEV"
13-05-2024 20.20,35,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, CYSEC/ALGO"
13-05-2024 20.20,36,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, CYSEC/ALGO"
13-05-2024 20.20,37,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, CYSEC/ALGO"
13-05-2024 20.20,38,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, CYSEC/ALGO"
13-05-2024 20.20,39,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.20,40,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, FRONTEND"
